q,n,k,reason,detail
2,1,1,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,2,2,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,3,3,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,4,4,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,5,5,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,6,6,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,7,7,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,8,8,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,9,9,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,10,10,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,11,11,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,12,12,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,13,13,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,14,14,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,15,15,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,16,16,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,17,17,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,18,18,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,19,19,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,20,20,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,21,21,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,22,22,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,23,23,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,24,24,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,25,25,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,26,26,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,27,15,parity-check matrix belongs to a different code,"d=4: row count 13 != expected 12, i.e. the printed matrix is for [[27,14]] rather than the requested [[27,15]] (different code)"
2,27,27,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,28,28,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,29,29,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,30,30,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,31,31,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,32,32,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,33,33,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,34,34,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,35,35,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,36,36,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,37,37,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,38,38,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,39,39,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,40,40,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,41,41,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,42,42,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,43,43,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,44,44,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,45,45,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,46,46,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,47,47,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,48,48,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,49,49,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,50,50,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,51,51,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,52,52,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,53,53,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,54,54,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,55,55,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,56,56,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,57,57,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,58,58,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,59,59,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,60,60,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,61,61,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,62,62,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,63,63,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,64,64,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,65,65,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,66,66,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,67,67,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,68,68,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,69,69,no stabilizer rows,"k = n, the stabilizer matrix is empty"
2,70,70,no stabilizer rows,"k = n, the stabilizer matrix is empty"
