q,n,k,d,label,delta_avg,delta_max,C,C_prime,D,past_peak,uniform
2,2,0,2,"[[2,0,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,4,2,2,"[[4,2,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,5,1,3,"[[5,1,3]]_2",0.8,0.8,0.12877123795494516,0.12877123795494516,0.0,True,True
2,6,0,4,"[[6,0,4]]_2",0.6666666666666666,0.6666666666666666,0.13357370072653496,0.13357370072653496,0.0,False,True
2,6,4,2,"[[6,4,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,8,3,3,"[[8,3,3]]_2",0.75,0.75,0.10517937960096613,0.10517937960096613,0.0,False,True
2,8,6,2,"[[8,6,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,10,2,4,"[[10,2,4]]_2",0.6,0.6,0.09976302134402826,0.09976302134402826,0.0,False,True
2,10,4,3,"[[10,4,3]]_2",0.7333333333333333,0.8,0.05623816750446686,0.06076240767399743,0.004524240169530569,True,False
2,10,8,2,"[[10,8,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,11,1,5,"[[11,1,5]]_2",0.5454545454545454,0.5454545454545454,0.09466287658320283,0.09466287658320283,0.0,False,True
2,11,5,3,"[[11,5,3]]_2",0.7272727272727273,0.7272727272727273,0.08784264039095402,0.08784264039095402,0.0,False,True
2,12,0,6,"[[12,0,6]]_2",0.5,0.5,0.08951045660766421,0.08951045660766421,0.0,False,True
2,12,4,4,"[[12,4,4]]_2",0.625,0.6666666666666666,0.07484803068777734,0.05989706302465758,-0.014950967663119763,False,False
2,12,6,3,"[[12,6,3]]_2",0.7222222222222222,0.8333333333333334,0.03672524260440224,0.04986314884267806,0.01313790623827582,True,False
2,12,10,2,"[[12,10,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,13,7,3,"[[13,7,3]]_2",0.6666666666666666,0.7692307692307693,0.05333515566529057,0.04152802580438242,-0.01180712986090815,True,False
2,14,6,4,"[[14,6,4]]_2",0.6428571428571429,0.7142857142857143,0.06076515006492844,0.042742041519744256,-0.018023108545184185,False,False
2,14,8,3,"[[14,8,3]]_2",0.7142857142857143,0.7142857142857143,0.07558791789631569,0.07558791789631569,0.0,False,True
2,14,12,2,"[[14,12,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,15,9,3,"[[15,9,3]]_2",0.7555555555555556,0.8,0.04018831885639362,0.04517960392239284,0.004991285065999218,True,False
2,16,2,6,"[[16,2,6]]_2",0.5357142857142857,0.625,0.06458370595820617,0.014767709778724547,-0.049815996179481625,False,False
2,16,7,4,"[[16,7,4]]_2",0.5833333333333334,0.75,0.0466964177224678,-0.0010884745749518698,-0.04778489229741967,False,False
2,16,10,3,"[[16,10,3]]_2",0.75,0.75,0.06721022675812705,0.06721022675812705,0.0,False,True
2,16,14,2,"[[16,14,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,17,1,7,"[[17,1,7]]_2",0.5,0.5882352941176471,0.06415122696395359,0.005517501991581297,-0.05863372497237229,False,False
2,17,9,4,"[[17,9,4]]_2",0.7058823529411765,0.7058823529411765,0.06654177460929545,0.06654177460929545,0.0,False,True
2,17,11,3,"[[17,11,3]]_2",0.7352941176470589,0.8235294117647058,0.010341256285277378,0.02115148514450471,0.010810228859227333,True,False
2,18,0,8,"[[18,0,8]]_2",0.46913580246913583,0.5555555555555556,0.06305852233810849,-0.002340725077545458,-0.06539924741565395,False,False
2,18,16,2,"[[18,16,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,19,12,3,"[[19,12,3]]_2",0.6992481203007519,0.7368421052631579,0.029390741596031722,0.024965044544215997,-0.004425697051815725,False,False
2,20,13,3,"[[20,13,3]]_2",0.7071428571428571,0.8,0.017739561575963014,0.01937970086691565,0.0016401392909526358,True,False
2,20,18,2,"[[20,18,2]]_2",1.0,1.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,True
2,21,15,3,"[[21,15,3]]_2",0.7619047619047619,0.7619047619047619,0.05515131251722183,0.05515131251722183,0.0,True,True
2,22,20,2,"[[22,20,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,23,16,3,"[[23,16,3]]_2",0.7142857142857142,0.782608695652174,0.02464859237888084,0.024376488679827557,-0.00027210369905328324,True,False
2,24,17,3,"[[24,17,3]]_2",0.7261904761904762,0.8333333333333334,0.00813393341287827,0.021653070364166194,0.013519136951287924,True,False
2,24,22,2,"[[24,22,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,25,18,3,"[[25,18,3]]_2",0.7257142857142856,0.8,0.013153050356833895,0.017092650932015396,0.003939600575181501,True,False
2,26,19,3,"[[26,19,3]]_2",0.7582417582417583,0.8461538461538461,-0.004947637680975725,0.01466856786204862,0.019616205543024345,True,False
2,26,24,2,"[[26,24,2]]_2",1.0,1.0,0.0,0.0,0.0,True,True
2,27,20,3,"[[27,20,3]]_2",0.7354497354497355,0.8148148148148148,0.007026455620397498,0.015253907345179174,0.008227451724781676,True,False
2,28,2,10,"[[28,2,10]]_2",0.45054945054945056,0.5714285714285714,0.04491203968073054,-0.047030143325016205,-0.09194218300574675,False,False
