q,band,n_codes,median_abs_D,max_abs_D
2,2-10,1,0.004524240169530569,0.004524240169530569
2,11-25,15,0.01313790623827582,0.06539924741565395
2,26-50,25,0.004653225359668167,0.09194218300574675
2,51-100,43,0.0007241195381282317,0.021545234589983364
2,101-175,71,0.0007537055085293787,0.006207577353111282
2,176-256,81,0.00047534514650027226,0.0049302035847273995
3,11-25,15,0.0028881720762210517,0.014212179128567759
3,26-50,40,0.004281407590656261,0.01410024272276178
3,51-100,68,0.0005816919076221949,0.0031930122482701773
4,11-25,9,0.0021971626636004826,0.017546011931574235
4,26-50,26,0.0015092529887884565,0.006915904602132983
4,51-100,71,0.0010407800013400026,0.003747143829128774
5,26-50,23,0.0006504690437100225,0.006056549884637885
5,51-100,50,0.0007238672468298235,0.004050329258943219
7,51-100,48,0.000814169300196177,0.0029786569564600462
8,51-100,34,0.0008849973448515902,0.001998793244096131
