series,scope,q,theory_a,theory_b,theory_R2,theory_rmse,power_alpha,power_beta,power_R2,power_rmse,bounding_scale,coverage_fitted,n_codes,n_lengths
C,all codes,2,0.429186921355221,0.039546155815330185,0.9507395551425257,0.006573460826949921,0.6138382953011885,-0.7752473216314133,0.9092023695691777,0.008929839496586982,1.4835216631721453,0.9995526227491333,17882,256
C,all codes,3,0.2612051465142309,-0.019127772360571758,0.7995249441875562,0.009386304428976085,0.3140908867181933,-0.7144763480363131,0.9786324547105985,0.0030445166853696666,1.3779740491077352,0.9917978275326979,4511,100
C,all codes,4,0.18752333831469956,-0.026825754879040906,0.5980375939281403,0.00914714104565626,0.2707218838915403,-0.7443462173498899,0.9555384430815071,0.0029993416847569126,1.3351737506387253,0.7696250337199892,3707,100
C,all codes,5,0.16324013273180768,-0.023147205782581212,0.6114970195466097,0.008002072080723259,0.26517626176650216,-0.7835825554896227,0.9301228278972293,0.003352263195710664,1.3198039811581501,0.7824282255274991,2891,100
C,all codes,7,0.15221527485947065,0.013110318467492046,0.9294807201640541,0.003681557190926948,0.19032154184121286,-0.742480821078216,0.9363535133014065,0.0034924368451193727,1.5014899347546535,0.999326825984517,2971,100
C,all codes,8,0.1423952825655284,0.012282716706261122,0.9292977125611657,0.003453298285460774,0.18151562627700218,-0.7487824829920157,0.9283054451589328,0.003472455180418767,1.501723305470995,0.9992890152861713,2813,100
C',semi-perfect codes only,2,0.31672748254116057,-0.17188499566502122,0.6078953604437592,0.011461877860928765,0.4350621613570649,-0.841441189236002,0.8445680239165994,0.007262016385023362,2.0258162034988882,0.9296875,384,249
C',semi-perfect codes only,3,0.1802801584260616,-0.07842168703537429,0.4439387009455311,0.01303668323229059,0.15083763698531552,-0.7018007586162537,0.6550538701673112,0.01036914837059949,2.2903206623230967,0.8795180722891566,249,99
C',semi-perfect codes only,4,0.13419594578154467,-0.04402348462076083,0.48558461261414443,0.011388735590616372,0.14149513035721548,-0.9100517873206678,0.5493135687899192,0.010983776816076783,2.1919204359534668,0.8686440677966102,236,99
C',semi-perfect codes only,5,0.15471268496832802,-0.07229457397980815,0.5907883457272995,0.009668758517012857,0.7658899533284331,-1.3676821092366491,0.7466130031046929,0.007693374682692966,1.8857448233448324,0.7959183673469388,245,99
C',semi-perfect codes only,7,0.1514207364959362,-0.083923107940589,0.6665804409874005,0.007395822350682842,8.586975174011705,-2.1434811265977665,-16.294023225943185,0.05515458186776442,1.7601233826590288,0.8668555240793201,353,99
C',semi-perfect codes only,8,0.151529085115253,-0.08997380136816154,0.7137367323718491,0.0061030519520040615,6.012028934298115,-1.9781646795930812,-16.725533690914148,0.048215832980366594,1.7280252405394,0.9298642533936652,442,99
