series,scope,q,target,alpha,beta,R2_log,R2_lin,rmse,n_points,n_dropped
C,all codes,2,"max_k C(n,k)",0.6138382953011885,-0.7752473216314133,0.9927055732271867,0.9092023695691777,0.008929839496586982,255,1
C,all codes,2,"mean_k C(n,k)",0.567120052661034,-0.877855201840332,0.9094493645995573,0.04110853340339937,0.0168766894949197,255,1
C,all codes,2,"median_k C(n,k)",0.7229879606422064,-0.891824331065663,0.9374212934657176,0.24139400882123074,0.019809609006012124,255,1
C,all codes,3,"max_k C(n,k)",0.3140908867181933,-0.7144763480363131,0.9938874234516022,0.9786324547105985,0.0030445166853696666,98,2
C,all codes,3,"mean_k C(n,k)",0.10960963304738933,-0.5426267507233156,0.8750688958012699,0.6394454512998848,0.005565807418240622,98,2
C,all codes,3,"median_k C(n,k)",0.21167515379208127,-0.6719763686631661,0.9804848939951177,0.9681961036478395,0.0021279678314680144,96,4
C,all codes,4,"max_k C(n,k)",0.2707218838915403,-0.7443462173498899,0.987915047655359,0.9555384430815071,0.0029993416847569126,97,3
C,all codes,4,"mean_k C(n,k)",0.11134893119596893,-0.6138882780079246,0.8519005074931344,0.6126606209676204,0.004224104769225562,97,3
C,all codes,4,"median_k C(n,k)",0.18918077211182807,-0.7008422433267293,0.9399340755141524,0.8459093711912798,0.0036975170188183813,96,4
C,all codes,5,"max_k C(n,k)",0.26517626176650216,-0.7835825554896227,0.9806949803733924,0.9301228278972293,0.003352263195710664,97,3
C,all codes,5,"mean_k C(n,k)",0.12417703984791874,-0.6885598970178073,0.8245339952498243,0.40895015767397236,0.0048925678312486095,97,3
C,all codes,5,"median_k C(n,k)",0.2444293288342181,-0.8239605656318334,0.9138107298436773,0.7121207833342198,0.004329097873013109,95,5
C,all codes,7,"max_k C(n,k)",0.19032154184121286,-0.742480821078216,0.9868602597216826,0.9363535133014065,0.0034924368451193727,99,1
C,all codes,7,"mean_k C(n,k)",0.13645922359857873,-0.7290119112872644,0.9229254433403423,0.569763267447607,0.005798007464492959,99,1
C,all codes,7,"median_k C(n,k)",0.17646565058831726,-0.7632684957318328,0.9558130429049998,0.6187892407696141,0.006238382940054941,98,2
C,all codes,8,"max_k C(n,k)",0.18151562627700218,-0.7487824829920157,0.9841900615052702,0.9283054451589328,0.003472455180418767,99,1
C,all codes,8,"mean_k C(n,k)",0.10135229349710138,-0.6801331054963695,0.9060350601979379,0.6306085313411542,0.004135421833385179,99,1
C,all codes,8,"median_k C(n,k)",0.1405056250837331,-0.7263146940973132,0.9313828614347274,0.5873694560113629,0.005252423810477909,98,2
C',semi-perfect codes only,2,"max_k C'(n,k)",0.4350621613570649,-0.841441189236002,0.8019843262207056,0.8445680239165994,0.007262016385023362,243,6
C',semi-perfect codes only,2,"mean_k C'(n,k)",0.30942298350316294,-0.8426374459192608,0.7056876122902282,0.7776135897374783,0.00637638820223976,240,9
C',semi-perfect codes only,2,"median_k C'(n,k)",0.29015046354093993,-0.8298404288445415,0.690013173947905,0.7495371393830722,0.006835202946908452,240,9
C',semi-perfect codes only,3,"max_k C'(n,k)",0.15083763698531552,-0.7018007586162537,0.5788522380411558,0.6550538701673112,0.01036914837059949,93,6
C',semi-perfect codes only,3,"mean_k C'(n,k)",0.07640824040346592,-0.6742819564891755,0.5102255801953484,0.5971708109609102,0.006192055240962747,93,6
C',semi-perfect codes only,3,"median_k C'(n,k)",0.07732285265717641,-0.6310727680901138,0.38861502301567963,0.48620435207151524,0.008351330136735228,93,6
C',semi-perfect codes only,4,"max_k C'(n,k)",0.14149513035721548,-0.9100517873206678,0.4046970889699676,0.5493135687899192,0.010983776816076783,90,9
C',semi-perfect codes only,4,"mean_k C'(n,k)",0.11000074691146981,-1.029773262503819,0.48354118294678905,0.5890876885333445,0.006027141082595897,89,10
C',semi-perfect codes only,4,"median_k C'(n,k)",0.27851975679423374,-1.3261270635588918,0.5740835886758401,0.6175942494358052,0.0071342958468777395,89,10
C',semi-perfect codes only,5,"max_k C'(n,k)",0.7658899533284331,-1.3676821092366491,0.7575166408867579,0.7466130031046929,0.007693374682692966,95,4
C',semi-perfect codes only,5,"mean_k C'(n,k)",0.6013190168931791,-1.4725940112388325,0.7562620592795284,0.5056018897181371,0.006697876394972565,95,4
C',semi-perfect codes only,5,"median_k C'(n,k)",0.8637336771647015,-1.557322455044595,0.7564417076455517,0.34112071271190225,0.009484850161393858,95,4
C',semi-perfect codes only,7,"max_k C'(n,k)",8.586975174011705,-2.1434811265977665,0.6962390147456765,-16.294023225943185,0.05515458186776442,77,22
C',semi-perfect codes only,7,"mean_k C'(n,k)",7.583641408353205,-2.25031837641763,0.6782447557574087,-26.864339114045283,0.043701658327193284,77,22
C',semi-perfect codes only,7,"median_k C'(n,k)",11.237579699066238,-2.330218248768724,0.6766015096200455,-32.7634286560706,0.05852923332426448,77,22
C',semi-perfect codes only,8,"max_k C'(n,k)",6.012028934298115,-1.9781646795930812,0.5674304448313119,-16.725533690914148,0.048215832980366594,81,18
C',semi-perfect codes only,8,"mean_k C'(n,k)",4.739792469227012,-2.036537636959861,0.5369948163442881,-25.95772950910566,0.03655998958696172,81,18
C',semi-perfect codes only,8,"median_k C'(n,k)",6.746937220520901,-2.099046164837412,0.5351395050046639,-30.349603897972365,0.048209986296255024,81,18
