regime,q,features,n_features,R2,rmse,n_codes
all codes,2,n only,2,0.3805569848956344,0.010117674587353825,17882
all codes,2,"n, k",5,0.5447591957516341,0.008673624527543961,17882
all codes,2,"n, delta (theory)",1,0.0497671497263551,0.01253126883922811,17882
all codes,2,"n, k + delta",6,0.6842422207093626,0.0072236560080159,17882
all codes,3,n only,2,0.27049405901182466,0.008437340908215277,4511
all codes,3,"n, k",5,0.5087210457523392,0.006923971321930955,4511
all codes,3,"n, delta (theory)",1,0.060129200543471706,0.009576906753516926,4511
all codes,3,"n, k + delta",6,0.7824898416195184,0.004607135153572437,4511
all codes,4,n only,2,0.2763761243366156,0.0071540877024989374,3707
all codes,4,"n, k",5,0.6289296387521786,0.005123018798890084,3707
all codes,4,"n, delta (theory)",1,0.06572431177080917,0.008128966613812556,3707
all codes,4,"n, k + delta",6,0.8539609438241675,0.003213899741942062,3707
all codes,5,n only,2,0.3481838155026129,0.006189901356652217,2891
all codes,5,"n, k",5,0.7371909758539992,0.003930441122946497,2891
all codes,5,"n, delta (theory)",1,0.0633517725338697,0.007420094152478538,2891
all codes,5,"n, k + delta",6,0.922141509631423,0.0021393121001732815,2891
all codes,7,n only,2,0.6539684214256327,0.003980721568724465,2971
all codes,7,"n, k",5,0.8044673152062516,0.0029923584563389,2971
all codes,7,"n, delta (theory)",1,0.03657312817193237,0.00664222086752874,2971
all codes,7,"n, k + delta",6,0.9576864187707498,0.0013920147167004993,2971
all codes,8,n only,2,0.4855183464594415,0.004448188385607228,2813
all codes,8,"n, k",5,0.6978264194701563,0.0034089958375269403,2813
all codes,8,"n, delta (theory)",1,0.05288342698268733,0.006035315022291393,2813
all codes,8,"n, k + delta",6,0.9553334425178392,0.0013106582532972193,2813
all codes,pooled,n only,2,0.2157056794897212,0.009634496896053824,34775
all codes,pooled,"n, k",5,0.4225277980704859,0.008267135345210858,34775
all codes,pooled,"n, delta (theory)",1,0.04808574564200441,0.010614228217693332,34775
all codes,pooled,"n, k + delta",6,0.5680226585597073,0.00715022963594185,34775
all codes,pooled,"n, q",4,0.37141015677610634,0.008625279671610255,34775
all codes,pooled,"n, k, q",8,0.5425775430013859,0.007357804551295257,34775
all codes,pooled,"n, k, q + delta",8,0.712261619056495,0.005835638809989796,34775
below entropy peak,2,n only,2,0.9062241877790294,0.0032338442579414504,13404
below entropy peak,2,"n, k",5,0.9534907415783038,0.002277421365611408,13404
below entropy peak,2,"n, delta (theory)",1,0.9287111809731896,0.002819579818276744,13404
below entropy peak,2,"n, k + delta",6,0.9568187228354486,0.002194428448713804,13404
below entropy peak,3,n only,2,0.8343292852970328,0.0032485287616504264,3965
below entropy peak,3,"n, k",5,0.9201651349406453,0.0022550705904166896,3965
below entropy peak,3,"n, delta (theory)",1,0.9189267600337495,0.00227249328181748,3965
below entropy peak,3,"n, k + delta",6,0.9521565889752495,0.0017457213006199157,3965
below entropy peak,4,n only,2,0.8509286903261397,0.002692692005793987,3210
below entropy peak,4,"n, k",5,0.946220112103282,0.0016173335430678044,3210
below entropy peak,4,"n, delta (theory)",1,0.9635279035837042,0.0013318950692184125,3210
below entropy peak,4,"n, k + delta",6,0.9754002055177816,0.0010938439948810128,3210
below entropy peak,5,n only,2,0.8585768402030559,0.0025623444436264223,2519
below entropy peak,5,"n, k",5,0.9654607952565836,0.001266290673352391,2519
below entropy peak,5,"n, delta (theory)",1,0.9838191207342847,0.0008667189656406018,2519
below entropy peak,5,"n, k + delta",6,0.9872563948750828,0.0007691718722543832,2519
below entropy peak,7,n only,2,0.9089375240963806,0.001943265616170945,2729
below entropy peak,7,"n, k",5,0.9836680903515094,0.0008229641628114572,2729
below entropy peak,7,"n, delta (theory)",1,0.9940462604297907,0.0004968866815559774,2729
below entropy peak,7,"n, k + delta",6,0.9981663702732737,0.00027575173893930484,2729
below entropy peak,8,n only,2,0.8767957716149803,0.0020399714168020397,2553
below entropy peak,8,"n, k",5,0.9726058625543262,0.0009619225170279799,2553
below entropy peak,8,"n, delta (theory)",1,0.9934367352900464,0.00047083770705977373,2553
below entropy peak,8,"n, k + delta",6,0.9968720291649038,0.000325044351401686,2553
below entropy peak,pooled,n only,2,0.4922863647862944,0.0064147221973813,28380
below entropy peak,pooled,"n, k",5,0.6323293683444934,0.005458809142044514,28380
below entropy peak,pooled,"n, delta (theory)",1,0.9249902904178352,0.0024656258896688945,28380
below entropy peak,pooled,"n, k + delta",6,0.9530189150124694,0.0019513265816721896,28380
below entropy peak,pooled,"n, q",4,0.8915520536779411,0.0029646887522236714,28380
below entropy peak,pooled,"n, k, q",8,0.9484059880246173,0.002044881235252528,28380
below entropy peak,pooled,"n, k, q + delta",8,0.9585682708849596,0.0018324619641002476,28380
past entropy peak,2,n only,2,0.008774581442098528,0.0149678246048337,4478
past entropy peak,2,"n, k",5,0.1424458291596734,0.013922052013506912,4478
past entropy peak,2,"n, delta (theory)",1,0.042939462669503325,0.01470761235772833,4478
past entropy peak,2,"n, k + delta",6,0.3887318327388637,0.011754072363906685,4478
past entropy peak,3,n only,2,0.0017548726645972845,0.012693720375330618,546
past entropy peak,3,"n, k",5,0.12523595694597445,0.01188271796425275,546
past entropy peak,3,"n, delta (theory)",1,0.03790602238494023,0.012461751185210543,546
past entropy peak,3,"n, k + delta",6,0.42560125779465563,0.00962890867815473,546
past entropy peak,4,n only,2,0.024170138428115107,0.0071769756441060215,497
past entropy peak,4,"n, k",5,0.07058692263380273,0.007004204376501997,497
past entropy peak,4,"n, delta (theory)",1,0.03716735120969883,0.00712901986118742,497
past entropy peak,4,"n, k + delta",6,0.46221480002504267,0.005327934087796937,497
past entropy peak,5,n only,2,0.030785882932760966,0.004333166413536854,372
past entropy peak,5,"n, k",5,0.06735385189972298,0.004250636362355482,372
past entropy peak,5,"n, delta (theory)",1,0.03192914449085049,0.004330610010236418,372
past entropy peak,5,"n, k + delta",6,0.6012451851428857,0.002779383485455174,372
past entropy peak,7,n only,2,0.0005110829864642952,0.0017831880147229327,242
past entropy peak,7,"n, k",5,0.08584218548454225,0.0017053704489397813,242
past entropy peak,7,"n, delta (theory)",1,0.005687235991320261,0.0017785646341941408,242
past entropy peak,7,"n, k + delta",6,0.7610672996706759,0.0008718583691390415,242
past entropy peak,8,n only,2,0.04661899984776896,0.001527090510328265,260
past entropy peak,8,"n, k",5,0.06076567973547642,0.0015157183514622923,260
