q,n,k,d,lower_bound,upper_bound,label,n_rows,spectrum,avg_weight,max_weight,x_value,rate_R,delta_avg,delta_max,H_delta_avg,H_delta_max,C,C_prime,n_constructions,matrix_label,code_type,kn,D,peak,past_peak,uniform,spread,H_gap
2,2,0,2,2,2,"[[2,0,2]]_2",2,{2: 2},2.0,2,9,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.0,0.0,0.75,True,True,0.0,0.0
2,4,2,2,2,2,"[[4,2,2]]_2",2,{4: 2},4.0,4,81,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.5,0.0,0.75,True,True,0.0,0.0
2,5,1,3,3,3,"[[5,1,3]]_2",4,{4: 4},4.0,4,405,0.8661778097771986,0.8,0.8,0.9949490477321438,0.9949490477321438,0.12877123795494516,0.12877123795494516,1,stabilizer matrix,Semi-Perfect Quantum Code,0.2,0.0,0.75,True,True,0.0,0.0
2,6,0,4,4,4,"[[6,0,4]]_2",6,{4: 6},4.0,4,1215,0.8538950498744287,0.6666666666666666,0.6666666666666666,0.9874687506009636,0.9874687506009636,0.13357370072653496,0.13357370072653496,1,stabilizer matrix,Semi-Perfect Quantum Code,0.0,0.0,0.75,False,True,0.0,0.0
2,6,4,2,2,2,"[[6,4,2]]_2",2,{6: 2},6.0,6,729,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.6666666666666666,0.0,0.75,True,True,0.0,0.0
2,8,3,3,3,3,"[[8,3,3]]_2",5,{6: 5},6.0,6,20412,0.8948206203990339,0.75,0.75,1.0,1.0,0.10517937960096613,0.10517937960096613,1,stabilizer matrix,Semi-Perfect Quantum Code,0.375,0.0,0.75,False,True,0.0,0.0
2,8,6,2,2,2,"[[8,6,2]]_2",2,{8: 2},8.0,8,6561,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.75,0.0,0.75,True,True,0.0,0.0
2,10,2,4,4,4,"[[10,2,4]]_2",8,{6: 8},6.0,6,153090,0.861201026099653,0.6,0.6,0.9609640474436812,0.9609640474436812,0.09976302134402826,0.09976302134402826,1,stabilizer matrix,Semi-Perfect Quantum Code,0.2,0.0,0.75,False,True,0.0,0.0
2,10,4,3,3,3,"[[10,4,3]]_2",6,"{6: 2, 8: 4}",7.333333333333333,8,448335,0.9387108802276769,0.7333333333333333,0.8,0.9994732879016743,0.9949490477321438,0.05623816750446686,0.06076240767399743,1,stabilizer matrix,Semi-Perfect Quantum Code,0.4,0.004524240169530569,0.75,True,False,0.0666666666666667,0.004524240169530569
2,10,8,2,2,2,"[[10,8,2]]_2",2,{10: 2},10.0,10,59049,0.792481250360578,1.0,1.0,0.7924812503605781,0.7924812503605781,1.1102230246251565e-16,1.1102230246251565e-16,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8,0.0,0.75,True,True,0.0,0.0
2,11,1,5,5,5,"[[11,1,5]]_2",10,{6: 10},6.0,6,336798,0.8346147293519542,0.5454545454545454,0.5454545454545454,0.9292776059351571,0.9292776059351571,0.09466287658320283,0.09466287658320283,1,stabilizer matrix,Semi-Perfect Quantum Code,0.09090909090909091,0.0,0.75,False,True,0.0,0.0
2,11,5,3,3,3,"[[11,5,3]]_2",6,{8: 6},8.0,8,1082565,0.911182828182503,0.7272727272727273,0.7272727272727273,0.999025468573457,0.999025468573457,0.08784264039095402,0.08784264039095402,1,stabilizer matrix,Semi-Perfect Quantum Code,0.45454545454545453,0.0,0.75,False,True,0.0,0.0
2,12,0,6,6,6,"[[12,0,6]]_2",12,{6: 12},6.0,6,673596,0.8067301685726248,0.5,0.5,0.896240625180289,0.896240625180289,0.08951045660766421,0.08951045660766421,1,stabilizer matrix,Semi-Perfect Quantum Code,0.0,0.0,0.75,False,True,0.0,0.0
2,12,4,4,4,4,"[[12,4,4]]_2",8,"{6: 2, 8: 6}",7.5,8,3921291,0.9126207199131863,0.625,0.6666666666666666,0.9725177829378439,0.9874687506009636,0.07484803068777734,0.05989706302465758,1,stabilizer matrix,Semi-Perfect Quantum Code,0.3333333333333333,-0.014950967663119763,0.75,False,False,0.041666666666666664,-0.014950967663119763
2,12,6,3,3,3,"[[12,6,3]]_2",6,"{8: 4, 10: 2}",8.666666666666666,10,7144929,0.9486870101869233,0.7222222222222222,0.8333333333333334,0.9985501590296013,0.9854122527913255,0.03672524260440224,0.04986314884267806,1,stabilizer matrix,Semi-Perfect Quantum Code,0.5,0.01313790623827582,0.75,True,False,0.11111111111111116,0.01313790623827582
2,12,10,2,2,2,"[[12,10,2]]_2",2,{12: 2},12.0,12,531441,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8333333333333334,0.0,0.75,True,True,0.0,0.0
2,13,7,3,3,3,"[[13,7,3]]_2",6,"{8: 4, 10: 2}",8.666666666666666,10,25332021,0.9459407247965812,0.6666666666666666,0.7692307692307693,0.9874687506009636,0.9992758804618718,0.05333515566529057,0.04152802580438242,1,stabilizer matrix,Semi-Perfect Quantum Code,0.5384615384615384,-0.01180712986090815,0.75,True,False,0.10256410256410262,-0.01180712986090815
2,14,6,4,4,4,"[[14,6,4]]_2",8,"{8: 4, 10: 4}",9.0,10,78810732,0.9368531701902286,0.6428571428571429,0.7142857142857143,0.9795952117099729,0.9976183202551571,0.06076515006492844,0.042742041519744256,1,stabilizer matrix,Semi-Perfect Quantum Code,0.42857142857142855,-0.018023108545184185,0.75,False,False,0.07142857142857142,-0.018023108545184185
2,14,8,3,3,3,"[[14,8,3]]_2",6,{10: 6},10.0,10,59108049,0.9220304023588414,0.7142857142857143,0.7142857142857143,0.9976183202551571,0.9976183202551571,0.07558791789631569,0.07558791789631569,1,stabilizer matrix,Semi-Perfect Quantum Code,0.5714285714285714,0.0,0.75,False,True,0.0,0.0
2,14,12,2,2,2,"[[14,12,2]]_2",2,{14: 2},14.0,14,4782969,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.8571428571428571,0.0,0.75,True,True,0.0,0.0
2,15,9,3,3,3,"[[15,9,3]]_2",6,"{10: 2, 12: 4}",11.333333333333334,12,419129802,0.9547607288757501,0.7555555555555556,0.8,0.999940332798143,0.9949490477321438,0.04018831885639362,0.04517960392239284,1,stabilizer matrix,Semi-Perfect Quantum Code,0.6,0.004991285065999218,0.75,True,False,0.044444444444444405,0.004991285065999218
2,16,2,6,6,6,"[[16,2,6]]_2",14,"{8: 10, 10: 4}",8.571428571428571,10,557304462,0.9079340769796377,0.5357142857142857,0.625,0.9227017867583622,0.9725177829378439,0.06458370595820617,0.014767709778724547,1,stabilizer matrix,Semi-Perfect Quantum Code,0.125,-0.049815996179481625,0.75,False,False,0.0892857142857143,-0.049815996179481625
2,16,7,4,4,4,"[[16,7,4]]_2",9,"{8: 5, 10: 2, 12: 2}",9.333333333333334,12,1524527082,0.9533035822775322,0.5833333333333334,0.75,0.9522151077025803,1.0,0.0466964177224678,-0.0010884745749518698,1,stabilizer matrix,Semi-Perfect Quantum Code,0.4375,-0.04778489229741967,0.75,False,False,0.16666666666666663,-0.04778489229741967
2,16,10,3,3,3,"[[16,10,3]]_2",6,{12: 6},12.0,12,967222620,0.932789773241873,0.75,0.75,1.0,1.0,0.06721022675812705,0.06721022675812705,1,stabilizer matrix,Semi-Perfect Quantum Code,0.625,0.0,0.75,False,True,0.0,0.0
2,16,14,2,2,2,"[[16,14,2]]_2",2,{16: 2},16.0,16,43046721,0.7924812503605781,1.0,1.0,0.7924812503605781,0.7924812503605781,0.0,0.0,1,stabilizer matrix,Semi-Perfect Quantum Code,0.875,0.0,0.75,True,True,0.0,0.0
2,17,1,7,7,7,"[[17,1,7]]_2",16,"{8: 12, 10: 4}",8.5,10,1307882862,0.8907231231887077,0.5,0.5882352941176471,0.896240625180289,0.9548743501526613,0.06415122696395359,0.005517501991581297,1,stabilizer matrix,Semi-Perfect Quantum Code,0.058823529411764705,-0.05863372497237229,0.75,False,False,0.08823529411764706,-0.05863372497237229
2,17,9,4,4,4,"[[17,9,4]]_2",8,{12: 8},12.0,12,3288556908,0.9298472791206739,0.7058823529411765,0.7058823529411765,0.9963890537299693,0.9963890537299693,0.06654177460929545,0.06654177460929545,1,stabilizer matrix,Semi-Perfect Quantum Code,0.5294117647058824,0.0,0.75,False,True,0.0,0.0
