series,scope,q,target,alpha,beta,R2_log,R2_lin,n_points,usable
C',"semi-perfect, C' > 0 only",2,max,0.43506216135706466,-0.8414411892360023,0.8019843262207057,0.8445680239165989,243,True
C',"semi-perfect, C' > 0 only",2,mean,0.3825184301773161,-0.8156067260754197,0.798582693873415,0.8514529112029032,243,True
C',"semi-perfect, C' > 0 only",3,max,0.15083763698531577,-0.7018007586162536,0.5788522380411555,0.6550538701673121,93,True
C',"semi-perfect, C' > 0 only",3,mean,0.1420344562387824,-0.7013403767747096,0.6114592547433555,0.6678642508130985,93,True
C',"semi-perfect, C' > 0 only",4,max,0.14149513035721545,-0.9100517873206676,0.4046970889699677,0.5493135687899193,90,True
C',"semi-perfect, C' > 0 only",4,mean,0.2102976577879256,-1.0606412960516405,0.5234749258591197,0.6770969011441279,90,True
C',"semi-perfect, C' > 0 only",5,max,0.7658899533284336,-1.3676821092366493,0.7575166408867577,0.7466130031046925,95,True
C',"semi-perfect, C' > 0 only",5,mean,0.5942687329526213,-1.3090784283449046,0.7582044383091343,0.8563310539334966,95,True
C',"semi-perfect, C' > 0 only",7,max,8.586975174011695,-2.143481126597766,0.6962390147456765,-16.294023225943157,77,False
C',"semi-perfect, C' > 0 only",7,mean,6.4034250265253,-2.089565145236273,0.7076820922606889,-11.57319775770762,77,False
C',"semi-perfect, C' > 0 only",8,max,6.012028934298142,-1.9781646795930812,0.5674304448313119,-16.725533690914336,81,False
C',"semi-perfect, C' > 0 only",8,mean,4.828948355798891,-1.9527382027907694,0.5862392007590517,-12.536709564873886,81,False
|C'-C|,"semi-perfect, non-zero D only",2,max,0.11070920453975623,-1.0977926420232313,0.15051491468506817,0.03334396774802906,230,True
|C'-C|,"semi-perfect, non-zero D only",2,mean,0.09492415310964444,-1.0675086991179097,0.14564458428899474,0.06320858831214715,230,True
|C'-C|,"semi-perfect, non-zero D only",3,max,0.2695144645726773,-1.3875595149386162,0.23040045631303474,-0.03080920791337971,80,False
|C'-C|,"semi-perfect, non-zero D only",3,mean,0.28399244137134294,-1.441371132042549,0.261742535831461,0.03331160152009127,80,True
|C'-C|,"semi-perfect, non-zero D only",4,max,0.002948430510972731,-0.16799764220014862,0.006603819531723287,-0.06903857688408266,74,False
|C'-C|,"semi-perfect, non-zero D only",4,mean,0.0067373817562619955,-0.4197838679219401,0.04383545924320287,-0.011697409475269982,74,False
|C'-C|,"semi-perfect, non-zero D only",5,max,0.018443016628528215,-0.7975286181320012,0.07690992479448344,-0.031349162462507074,73,False
|C'-C|,"semi-perfect, non-zero D only",5,mean,0.018443016628528215,-0.7975286181320012,0.07690992479448344,-0.031349162462507074,73,False
|C'-C|,"semi-perfect, non-zero D only",7,max,12178.227680071685,-3.915067455142962,0.4114372287898864,0.6066208227531891,48,True
|C'-C|,"semi-perfect, non-zero D only",7,mean,12178.227680071685,-3.915067455142962,0.4114372287898864,0.6066208227531891,48,True
|C'-C|,"semi-perfect, non-zero D only",8,max,11444.4376001549,-3.73299730587895,0.4648410379187069,0.3184312513962304,34,True
|C'-C|,"semi-perfect, non-zero D only",8,mean,11444.4376001549,-3.73299730587895,0.4648410379187069,0.3184312513962304,34,True
