Stage-1 undetected error set U_3
size = 11186   (weights 1/2/3/4 = 14/119/1148/9905)

Weight 1:
  E1      = XIIIIIIIIIIIII
  E2      = IXIIIIIIIIIIII
  E3      = IIXIIIIIIIIIII
  E4      = IIIXIIIIIIIIII
  E5      = IIIIXIIIIIIIII
  E6      = IIIIIXIIIIIIII
  E7      = IIIIIIXIIIIIII
  E8      = IIIIIIIXIIIIII
  E9      = IIIIIIIIXIIIII
  E10     = IIIIIIIIIXIIII
  E11     = IIIIIIIIIIXIII
  E12     = IIIIIIIIIIIXII
  E13     = IIIIIIIIIIIIXI
  E14     = IIIIIIIIIIIIIX

Weight 2:
  E1      = XXIIIIIIIIIIII
  E2      = YYIIIIIIIIIIII
  E3      = ZYIIIIIIIIIIII
  E4      = YZIIIIIIIIIIII
  E5      = ZZIIIIIIIIIIII
  E6      = XIXIIIIIIIIIII
  E7      = XIIXIIIIIIIIII
  E8      = XIIIXIIIIIIIII
  E9      = XIIIIXIIIIIIII
  E10     = XIIIIIXIIIIIII
  E11     = XIIIIIIXIIIIII
  E12     = XIIIIIIIXIIIII
  E13     = XIIIIIIIIXIIII
  E14     = XIIIIIIIIIXIII
  E15     = XIIIIIIIIIIXII
  E16     = XIIIIIIIIIIIXI
  E17     = XIIIIIIIIIIIIX
  E18     = IXXIIIIIIIIIII
  E19     = IXIXIIIIIIIIII
  E20     = IXIIXIIIIIIIII
  E21     = IXIIIXIIIIIIII
  E22     = IXIIIIXIIIIIII
  E23     = IXIIIIIXIIIIII
  E24     = IXIIIIIIXIIIII
  E25     = IXIIIIIIIXIIII
  E26     = IXIIIIIIIIXIII
  E27     = IXIIIIIIIIIXII
  E28     = IXIIIIIIIIIIXI
  E29     = IXIIIIIIIIIIIX
  E30     = IIXXIIIIIIIIII
  E31     = IIYYIIIIIIIIII
  E32     = IIZYIIIIIIIIII
  E33     = IIYZIIIIIIIIII
  E34     = IIZZIIIIIIIIII
  E35     = IIXIXIIIIIIIII
  E36     = IIXIIXIIIIIIII
  E37     = IIXIIIXIIIIIII
  E38     = IIXIIIIXIIIIII
  E39     = IIXIIIIIXIIIII
  E40     = IIXIIIIIIXIIII
  E41     = IIXIIIIIIIXIII
  E42     = IIXIIIIIIIIXII
  E43     = IIXIIIIIIIIIXI
  E44     = IIXIIIIIIIIIIX
  E45     = IIIXXIIIIIIIII
  E46     = IIIXIXIIIIIIII
  E47     = IIIXIIXIIIIIII
  E48     = IIIXIIIXIIIIII
  E49     = IIIXIIIIXIIIII
  E50     = IIIXIIIIIXIIII
  E51     = IIIXIIIIIIXIII
  E52     = IIIXIIIIIIIXII
  E53     = IIIXIIIIIIIIXI
  E54     = IIIXIIIIIIIIIX
  E55     = IIIIXXIIIIIIII
  E56     = IIIIYYIIIIIIII
  E57     = IIIIZYIIIIIIII
  E58     = IIIIYZIIIIIIII
  E59     = IIIIZZIIIIIIII
  E60     = IIIIXIXIIIIIII
  E61     = IIIIXIIXIIIIII
  E62     = IIIIXIIIXIIIII
  E63     = IIIIXIIIIXIIII
  E64     = IIIIXIIIIIXIII
  E65     = IIIIXIIIIIIXII
  E66     = IIIIXIIIIIIIXI
  E67     = IIIIXIIIIIIIIX
  E68     = IIIIIXXIIIIIII
  E69     = IIIIIXIXIIIIII
  E70     = IIIIIXIIXIIIII
  E71     = IIIIIXIIIXIIII
  E72     = IIIIIXIIIIXIII
  E73     = IIIIIXIIIIIXII
  E74     = IIIIIXIIIIIIXI
  E75     = IIIIIXIIIIIIIX
  E76     = IIIIIIXXIIIIII
  E77     = IIIIIIYYIIIIII
  E78     = IIIIIIZYIIIIII
  E79     = IIIIIIYZIIIIII
  E80     = IIIIIIZZIIIIII
  E81     = IIIIIIXIXIIIII
  E82     = IIIIIIXIIXIIII
  E83     = IIIIIIXIIIXIII
  E84     = IIIIIIXIIIIXII
  E85     = IIIIIIXIIIIIXI
  E86     = IIIIIIXIIIIIIX
  E87     = IIIIIIIXXIIIII
  E88     = IIIIIIIXIXIIII
  E89     = IIIIIIIXIIXIII
  E90     = IIIIIIIXIIIXII
  E91     = IIIIIIIXIIIIXI
  E92     = IIIIIIIXIIIIIX
  E93     = IIIIIIIIXXIIII
  E94     = IIIIIIIIYYIIII
  E95     = IIIIIIIIZYIIII
  E96     = IIIIIIIIYZIIII
  E97     = IIIIIIIIZZIIII
  E98     = IIIIIIIIXIXIII
  E99     = IIIIIIIIXIIXII
  E100    = IIIIIIIIXIIIXI
  E101    = IIIIIIIIXIIIIX
  E102    = IIIIIIIIIXXIII
  E103    = IIIIIIIIIXIXII
  E104    = IIIIIIIIIXIIXI
  E105    = IIIIIIIIIXIIIX
  E106    = IIIIIIIIIIXXII
  E107    = IIIIIIIIIIYYII
  E108    = IIIIIIIIIIZYII
  E109    = IIIIIIIIIIYZII
  E110    = IIIIIIIIIIZZII
  E111    = IIIIIIIIIIXIXI
  E112    = IIIIIIIIIIXIIX
  E113    = IIIIIIIIIIIXXI
  E114    = IIIIIIIIIIIXIX
  E115    = IIIIIIIIIIIIXX
  E116    = IIIIIIIIIIIIYY
  E117    = IIIIIIIIIIIIZY
  E118    = IIIIIIIIIIIIYZ
  E119    = IIIIIIIIIIIIZZ

Weight 3:
  E1      = XXXIIIIIIIIIII
  E2      = YYXIIIIIIIIIII
  E3      = ZYXIIIIIIIIIII
  E4      = YZXIIIIIIIIIII
  E5      = ZZXIIIIIIIIIII
  E6      = XXIXIIIIIIIIII
  E7      = YYIXIIIIIIIIII
  E8      = ZYIXIIIIIIIIII
  E9      = YZIXIIIIIIIIII
  E10     = ZZIXIIIIIIIIII
  E11     = XXIIXIIIIIIIII
  E12     = YYIIXIIIIIIIII
  E13     = ZYIIXIIIIIIIII
  E14     = YZIIXIIIIIIIII
  E15     = ZZIIXIIIIIIIII
  E16     = XXIIIXIIIIIIII
  E17     = YYIIIXIIIIIIII
  E18     = ZYIIIXIIIIIIII
  E19     = YZIIIXIIIIIIII
  E20     = ZZIIIXIIIIIIII
  E21     = XXIIIIXIIIIIII
