STAGE-1 UNDETECTED SET U_8   (218 errors)

IIIIIIIIIXIIII  X_9
IIIIIIIIIIZIII  Z_10
IIIIIIIIIIIXII  X_11
IIIIIIIIIIIIXI  X_12
IZIIIIXIIIIIII  Z_1 X_6
IIIZIIIIXIIIII  Z_3 X_8
IIIIZIIIIIIIIY  Z_4 Y_13
IIIIIIIIIXZIII  X_9 Z_10
IIIIIIIIIXIXII  X_9 X_11
IIIIIIIIIXIIXI  X_9 X_12
IIIIIIIIIIZXII  Z_10 X_11
IIIIIIIIIIZIXI  Z_10 X_12
IIIIIIIIIIIXXI  X_11 X_12
IZIIIIXIIXIIII  Z_1 X_6 X_9
IZIIIIXIIIZIII  Z_1 X_6 Z_10
IZIIIIXIIIIXII  Z_1 X_6 X_11
IZIIIIXIIIIIXI  Z_1 X_6 X_12
IIIZIIIIXXIIII  Z_3 X_8 X_9
IIIZIIIIXIZIII  Z_3 X_8 Z_10
IIIZIIIIXIIXII  Z_3 X_8 X_11
IIIZIIIIXIIIXI  Z_3 X_8 X_12
IIIIZIIIIXIIIY  Z_4 X_9 Y_13
IIIIZIIIIIZIIY  Z_4 Z_10 Y_13
IIIIZIIIIIIXIY  Z_4 X_11 Y_13
IIIIZIIIIIIIXY  Z_4 X_12 Y_13
IIIIIIIIIXZXII  X_9 Z_10 X_11
IIIIIIIIIXZIXI  X_9 Z_10 X_12
IIIIIIIIIXIXXI  X_9 X_11 X_12
IIIIIIIIIIZXXI  Z_10 X_11 X_12
ZXXYIIIIIIIIII  Z_0 X_1 X_2 Y_3
ZYYIYIIIIIIIII  Z_0 Y_1 Y_2 Y_4
ZZIXXIIIIIIIII  Z_0 Z_1 X_3 X_4
XYIXIZIIIIIIII  X_0 Y_1 X_3 Z_5
YXIIXZIIIIIIII  Y_0 X_1 X_4 Z_5
ZXIIIXIIYIIIII  Z_0 X_1 X_5 Y_8
ZYIIIYIIIIIIIX  Z_0 Y_1 Y_5 X_13
ZXIIIIYXIIIIII  Z_0 X_1 Y_6 X_7
ZYIIIIZXIIIIII  Z_0 Y_1 Z_6 X_7
XZIIIIIZIIXIII  X_0 Z_1 Z_7 X_10
XZIIIIIZIIYIII  X_0 Z_1 Z_7 Y_10
XXIIIIIIIIIYIZ  X_0 X_1 Y_11 Z_13
XXIIIIIIIIIZIZ  X_0 X_1 Z_11 Z_13
ZIZZZIIIIIIIII  Z_0 Z_2 Z_3 Z_4
XIZXIIZIIIIIII  X_0 Z_2 X_3 Z_6
ZIZZIIIIIIIIIY  Z_0 Z_2 Z_3 Y_13
YIZIXIYIIIIIII  Y_0 Z_2 X_4 Y_6
ZIZIZIIIXIIIII  Z_0 Z_2 Z_4 X_8
ZIZIIZIXIIIIII  Z_0 Z_2 Z_5 X_7
YIYIIYIYIIIIII  Y_0 Y_2 Y_5 Y_7
XIXIIXIZIIIIII  X_0 X_2 X_5 Z_7
ZIYIIXIIIIIYII  Z_0 Y_2 X_5 Y_11
ZIYIIXIIIIIZII  Z_0 Y_2 X_5 Z_11
YIZIIIIZIIIYII  Y_0 Z_2 Z_7 Y_11
YIZIIIIZIIIZII  Y_0 Z_2 Z_7 Z_11
YIXIIIIIZIIIIX  Y_0 X_2 Z_8 X_13
ZIZIIIIIXIIIIY  Z_0 Z_2 X_8 Y_13
XIYIIIIIYIIIIZ  X_0 Y_2 Y_8 Z_13
ZIIXXIXIIIIIII  Z_0 X_3 X_4 X_6
XIIZYIYIIIIIII  X_0 Z_3 Y_4 Y_6
YIIYZIZIIIIIII  Y_0 Y_3 Z_4 Z_6
YIIZIYIIIIXIII  Y_0 Z_3 Y_5 X_10
YIIZIYIIIIYIII  Y_0 Z_3 Y_5 Y_10
YIIXIXIIIIIIIX  Y_0 X_3 X_5 X_13
YIIYIIZIIIIIIY  Y_0 Y_3 Z_6 Y_13
XIIYIIIZYIIIII  X_0 Y_3 Z_7 Y_8
XIIXIIIZZIIIII  X_0 X_3 Z_7 Z_8
ZIIYIIIYIIIIYI  Z_0 Y_3 Y_7 Y_12
ZIIYIIIYIIIIZI  Z_0 Y_3 Y_7 Z_12
XIIIXYIIYIIIII  X_0 X_4 Y_5 Y_8
XIIIYIYIXIIIII  X_0 Y_4 Y_6 X_8
ZIIIYIIZIYIIII  Z_0 Y_4 Z_7 Y_9
ZIIIYIIZIZIIII  Z_0 Y_4 Z_7 Z_9
YIIIYIIYIIIIIX  Y_0 Y_4 Y_7 X_13
YIIIXIIYIIIIIZ  Y_0 X_4 Y_7 Z_13
ZIIIXIIIZIXIII  Z_0 X_4 Z_8 X_10
ZIIIXIIIZIYIII  Z_0 X_4 Z_8 Y_10
XIIIIYZIIYIIII  X_0 Y_5 Z_6 Y_9
XIIIIYZIIZIIII  X_0 Y_5 Z_6 Z_9
YIIIIXYIIIIIYI  Y_0 X_5 Y_6 Y_12
YIIIIXYIIIIIZI  Y_0 X_5 Y_6 Z_12
XIIIIZIYIIIYII  X_0 Z_5 Y_7 Y_11
XIIIIZIYIIIZII  X_0 Z_5 Y_7 Z_11
YIIIIYIIXIXIII  Y_0 Y_5 X_8 X_10
YIIIIYIIXIYIII  Y_0 Y_5 X_8 Y_10
XIIIIIXZIIXIII  X_0 X_6 Z_7 X_10
XIIIIIXZIIYIII  X_0 X_6 Z_7 Y_10
YIIIIIZIZIIYII  Y_0 Z_6 Z_8 Y_11
YIIIIIZIZIIZII  Y_0 Z_6 Z_8 Z_11
YIIIIIIXYIIIYI  Y_0 X_7 Y_8 Y_12
YIIIIIIXYIIIZI  Y_0 X_7 Y_8 Z_12
XIIIIIIXIYIIIX  X_0 X_7 Y_9 X_13
XIIIIIIXIZIIIX  X_0 X_7 Z_9 X_13
IYXZXIIIIIIIII  Y_1 X_2 Z_3 X_4
IZZYYIIIIIIIII  Z_1 Z_2 Y_3 Y_4
IXYXZIIIIIIIII  X_1 Y_2 X_3 Z_4
IXYXIIIIIIIIIY  X_1 Y_2 X_3 Y_13
IYXIXIIIXIIIII  Y_1 X_2 X_4 X_8
IXZIIZYIIIIIII  X_1 Z_2 Z_5 Y_6
IYZIIZZIIIIIII  Y_1 Z_2 Z_5 Z_6
IZXIIXIIIIXIII  Z_1 X_2 X_5 X_10
IZXIIXIIIIYIII  Z_1 X_2 X_5 Y_10
IYYIIIIZIYIIII  Y_1 Y_2 Z_7 Y_9
IYYIIIIZIZIIII  Y_1 Y_2 Z_7 Z_9
IXXIIIIYIIIIYI  X_1 X_2 Y_7 Y_12
IXXIIIIYIIIIZI  X_1 X_2 Y_7 Z_12
IXYIIIIIYIIYII  X_1 Y_2 Y_8 Y_11
IXYIIIIIYIIZII  X_1 Y_2 Y_8 Z_11
IZIZIIXIXIIIII  Z_1 Z_3 X_6 X_8
