STAGE 1 -- all inequivalent 3 x weight-8 classes

raw solutions 10341, inequivalent classes 1057

idx    |U_3|     minwt   raw        column-type counts
0      11186     8       7          2 0 0 0 2 2 2 2 4 0 0 0 0 0 0 
1      11186     8       28         3 0 0 1 0 1 1 2 2 2 2 0 0 0 0 
2      11186     8       1          0 2 2 2 2 2 2 2 0 0 0 0 0 0 0 
3      11186     8       21         2 0 1 1 1 1 2 2 2 2 0 0 0 0 0 
4      11186     8       7          2 1 1 1 1 1 1 2 1 1 1 1 0 0 0 
5      11186     8       7          4 0 0 0 0 0 0 2 2 2 2 2 0 0 0 
6      11186     8       28         3 0 0 0 1 1 1 2 3 1 1 1 0 0 0 
7      11186     8       21         4 0 0 0 0 0 1 1 2 2 1 1 1 1 0 
8      11186     8       21         3 0 0 1 1 1 1 1 2 1 1 0 0 1 1 
9      11186     8       7          1 1 1 1 2 2 2 2 2 0 0 0 0 0 0 
10     11206     8       24         2 0 0 0 1 1 2 2 0 2 1 1 1 1 0 
11     11206     8       24         0 0 1 1 2 2 3 3 0 2 0 0 0 0 0 
12     11206     8       16         2 0 0 0 0 2 2 2 0 2 2 0 2 0 0 
13     11206     8       48         1 0 0 1 1 2 2 3 0 2 2 0 0 0 0 
14     11206     8       4          0 0 0 0 3 3 3 3 2 0 0 0 0 0 0 
15     11206     8       16         1 0 0 0 2 2 2 3 1 1 1 1 0 0 0 
16     11206     8       16         2 0 0 0 1 1 1 3 0 2 2 2 0 0 0 
17     11206     8       12         1 0 0 1 2 2 2 2 0 1 1 0 0 1 1 
18     11226     8       12         2 0 0 0 0 0 0 4 0 0 4 4 0 0 0 
19     11226     8       24         0 0 0 2 1 1 3 3 0 0 2 0 0 2 0 
20     11226     8       6          0 0 1 1 1 1 3 3 0 0 1 1 1 1 0 
21     11226     8       12         0 0 1 1 1 1 2 4 0 0 2 2 0 0 0 
22     11226     8       6          2 0 0 0 0 0 2 2 0 0 2 2 2 2 0 
23     11226     8       24         1 0 0 1 0 1 1 4 0 0 4 2 0 0 0 
24     11226     8       24         1 0 0 1 0 1 2 3 0 0 3 1 1 1 0 
25     11226     8       24         1 0 0 1 0 1 3 2 0 0 2 0 2 2 0 
26     11226     8       12         2 0 0 0 0 0 1 3 0 0 3 3 1 1 0 
27     11226     8       24         0 0 0 2 0 2 2 4 0 0 4 0 0 0 0 
28     11246     8       9          0 0 0 1 1 1 1 4 1 0 0 3 0 1 1 
29     11246     8       9          1 0 0 0 0 1 1 3 1 0 0 3 2 1 1 
30     11246     8       9          0 0 0 2 1 1 1 3 0 0 0 2 0 2 2 
